office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
PRES PRO TEM EMERITUS (D),2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",25,TRAVEL AND TRANSPORTATION OF PERSONS,25,36.91,36.91,ok,segment
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",38,TRAVEL AND TRANSPORTATION OF PERSONS,38,936.0,936.0,ok,segment
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",38,ACQUISITION OF ASSETS,38,820.89,820.89,ok,segment
MAJORITY LEADER (R),2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",45,TRAVEL AND TRANSPORTATION OF PERSONS,45,683.36,683.36,ok,segment
MAJORITY LEADER (R),2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",45,ACQUISITION OF ASSETS,45,528.94,528.94,ok,segment
MAJORITY WHIP (R),2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",48,OTHER CONTRACTUAL SERVICES,48,400.0,400.0,ok,segment
APPROPRIATIONS,2025,"SALARIES, OFFICERS AND EMPLOYEES",63,PERSONNEL COMP. FULL-TIME PERMANENT,65,8442167.89,8442167.89,ok,segment
APPROPRIATIONS,2025,"SALARIES, OFFICERS AND EMPLOYEES",63,RE-EMPLOYED ANNUITANTS,65,26250.0,0.0,no_records,segment
APPROPRIATIONS,2025,"SALARIES, OFFICERS AND EMPLOYEES",63,NET PAYROLL EXPENSES,65,8468417.89,8442167.89,fail,block_running_total
CHAPLAIN,2025,"SALARIES, OFFICERS AND EMPLOYEES",72,PERSONNEL COMP. FULL-TIME PERMANENT,72,326849.88,326849.88,ok,segment
CHAPLAIN,2025,"SALARIES, OFFICERS AND EMPLOYEES",72,NET PAYROLL EXPENSES,72,326849.88,326849.88,ok,block_running_total
PRES PRO TEM EMERITUS (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",80,PERSONNEL COMP. FULL-TIME PERMANENT,80,163137.46,163137.46,ok,segment
PRES PRO TEM EMERITUS (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",80,NET PAYROLL EXPENSES,80,163137.46,163137.46,ok,block_running_total
MINORITY LEADER (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",84,PERSONNEL COMP. FULL-TIME PERMANENT,85,1621828.47,1621828.47,ok,segment
MINORITY LEADER (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",84,NET PAYROLL EXPENSES,85,1621828.47,1621828.47,ok,block_running_total
MINORITY WHIP (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",88,PERSONNEL COMP. FULL-TIME PERMANENT,88,932113.85,932113.85,ok,segment
MINORITY WHIP (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",88,RE-EMPLOYED ANNUITANTS,88,24204.0,0.0,no_records,segment
MINORITY WHIP (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",88,NET PAYROLL EXPENSES,88,956317.85,932113.85,fail,block_running_total
MINORITY CONFERENCE COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",91,PERSONNEL COMP. FULL-TIME PERMANENT,91,857101.22,857101.22,ok,segment
MINORITY CONFERENCE COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",91,NET PAYROLL EXPENSES,91,857101.22,857101.22,ok,block_running_total
MINORITY POLICY COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",94,PERSONNEL COMP. FULL-TIME PERMANENT,94,888285.84,888285.84,ok,segment
MINORITY POLICY COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",94,NET PAYROLL EXPENSES,94,888285.84,888285.84,ok,block_running_total
"SECRETARY, MINORITY CONFERENCE COMM (D)",2025,"SALARIES, OFFICERS AND EMPLOYEES",97,PERSONNEL COMP. FULL-TIME PERMANENT,97,179811.14,179811.14,ok,segment
"SECRETARY, MINORITY CONFERENCE COMM (D)",2025,"SALARIES, OFFICERS AND EMPLOYEES",97,NET PAYROLL EXPENSES,97,179811.14,179811.14,ok,block_running_total
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,"SALARIES, OFFICERS AND EMPLOYEES",98,PERSONNEL COMP. FULL-TIME PERMANENT,99,1332917.05,1332917.05,ok,segment
