office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,17,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,18,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2024,19,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2025,20,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2025,21,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2026,22,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,23,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,24,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2026,25,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2024,26,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2025,27,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2026,28,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2024,29,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2025,30,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2026,31,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2024,32,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2025,33,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2026,34,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,35,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2026,36,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2024,37,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2025,38,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2025,39,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2026,40,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,41,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2025,42,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2026,43,ok,fail,1,1,0,1,0,1,15.07,0.0,0,0
MINORITY WHIP (R),2024,44,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2025,45,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2026,46,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2024,47,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2025,48,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2026,49,ok,fail,1,1,0,1,0,1,258.85,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2024,50,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2025,51,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2026,52,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,53,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,54,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2026,55,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,56,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2025,57,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2026,58,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2024,59,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2025,60,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2026,61,ok,ok,119,3,2,3,0,119,8730609.99,0.0,0,0
CHAPLAIN,2024,64,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2025,65,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2025,66,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2026,67,ok,fail,4,1,0,2,0,4,344049.88,0.0,0,0
