office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
PRES PRO TEM EMERITUS (D),2025,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",25,TRAVEL AND TRANSPORTATION OF PERSONS,25,69.89,69.89,ok,segment
MINORITY LEADER (R),2024,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",44,OTHER CONTRACTUAL SERVICES,44,174.92,174.92,ok,segment
APPROPRIATIONS,2025,"SALARIES, OFFICERS AND EMPLOYEES",63,PERSONNEL COMP. FULL-TIME PERMANENT,65,8296043.35,8296043.35,ok,segment
APPROPRIATIONS,2025,"SALARIES, OFFICERS AND EMPLOYEES",63,RE-EMPLOYED ANNUITANTS,65,5395.83,0.0,no_records,segment
APPROPRIATIONS,2025,"SALARIES, OFFICERS AND EMPLOYEES",63,NET PAYROLL EXPENSES,65,8301439.18,8296043.35,fail,block_running_total
CHAPLAIN,2025,"SALARIES, OFFICERS AND EMPLOYEES",72,PERSONNEL COMP. FULL-TIME PERMANENT,72,322358.21,322358.21,ok,segment
CHAPLAIN,2025,"SALARIES, OFFICERS AND EMPLOYEES",72,NET PAYROLL EXPENSES,72,322358.21,322358.21,ok,block_running_total
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,"SALARIES, OFFICERS AND EMPLOYEES",76,PERSONNEL COMP. FULL-TIME PERMANENT,77,1010679.02,1010679.02,ok,segment
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,"SALARIES, OFFICERS AND EMPLOYEES",76,NET PAYROLL EXPENSES,77,1010679.02,1010679.02,ok,block_running_total
PRESIDENT PRO TEMPORE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",80,PERSONNEL COMP. FULL-TIME PERMANENT,80,110861.05,129861.05,fail,segment
PRESIDENT PRO TEMPORE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",80,NET PAYROLL EXPENSES,80,110861.05,129861.05,fail,block_running_total
PRES PRO TEM EMERITUS (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",81,PERSONNEL COMP. FULL-TIME PERMANENT,81,84680.53,84680.53,ok,segment
PRES PRO TEM EMERITUS (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",81,NET PAYROLL EXPENSES,81,84680.53,84680.53,ok,block_running_total
MINORITY LEADER (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",85,PERSONNEL COMP. FULL-TIME PERMANENT,86,1371201.5,1371201.5,ok,segment
MINORITY LEADER (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",85,NET PAYROLL EXPENSES,86,1371201.5,1371201.5,ok,block_running_total
MINORITY WHIP (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",89,PERSONNEL COMP. FULL-TIME PERMANENT,89,879601.47,879601.47,ok,segment
MINORITY WHIP (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",89,RE-EMPLOYED ANNUITANTS,89,24204.0,0.0,no_records,segment
MINORITY WHIP (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",89,NET PAYROLL EXPENSES,90,903805.47,879601.47,fail,block_running_total
MINORITY CONFERENCE COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",93,PERSONNEL COMP. FULL-TIME PERMANENT,93,773798.57,773798.57,ok,segment
MINORITY CONFERENCE COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",93,NET PAYROLL EXPENSES,94,773798.57,773798.57,ok,block_running_total
MINORITY POLICY COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",97,PERSONNEL COMP. FULL-TIME PERMANENT,98,836548.29,836548.29,ok,segment
MINORITY POLICY COMMITTEE (D),2025,"SALARIES, OFFICERS AND EMPLOYEES",97,NET PAYROLL EXPENSES,98,836548.29,836548.29,ok,block_running_total
"SECRETARY, MINORITY CONFERENCE COMM (D)",2025,"SALARIES, OFFICERS AND EMPLOYEES",101,PERSONNEL COMP. FULL-TIME PERMANENT,101,175624.53,175624.53,ok,segment
"SECRETARY, MINORITY CONFERENCE COMM (D)",2025,"SALARIES, OFFICERS AND EMPLOYEES",101,NET PAYROLL EXPENSES,101,175624.53,175624.53,ok,block_running_total
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,"SALARIES, OFFICERS AND EMPLOYEES",102,PERSONNEL COMP. FULL-TIME PERMANENT,102,319337.44,319337.44,ok,segment
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,"SALARIES, OFFICERS AND EMPLOYEES",102,NET PAYROLL EXPENSES,102,319337.44,319337.44,ok,block_running_total
PRES PRO TEM EMERITUS (R),2025,"SALARIES, OFFICERS AND EMPLOYEES",105,PERSONNEL COMP. FULL-TIME PERMANENT,105,113436.63,113436.63,ok,segment
